wavelength (nm),refractive index
7696.79,3.42041
7714.54,3.4204
7732.32,3.42039
7750.15,3.42038
7768.01,3.42037
7785.92,3.42036
7803.87,3.42034
7821.86,3.42033
7839.89,3.42032
7857.96,3.42031
7876.08,3.4203
7894.23,3.42029
7912.43,3.42028
7930.67,3.42027
7948.95,3.42026
7967.28,3.42025
7985.64,3.42023
8004.05,3.42022
8022.5,3.42021
8041,3.4202
8059.53,3.42019
8078.11,3.42018
8096.73,3.42017
8115.4,3.42015
8134.11,3.42014
8152.86,3.42013
8171.65,3.42012
8190.49,3.42011
8209.37,3.4201
8228.3,3.42008
8247.26,3.42007
8266.28,3.42006
8285.33,3.42005
8304.43,3.42004
8323.57,3.42003
8342.76,3.42002
8361.99,3.42001
8381.27,3.42
8400.59,3.41999
8419.96,3.41998
8439.37,3.41997
8458.82,3.41996
8478.32,3.41995
8497.87,3.41994
8517.46,3.41993
8537.09,3.41992
8556.77,3.41991
8576.5,3.4199
8596.27,3.41989
8616.08,3.41988
8635.95,3.41987
8655.85,3.41987
8675.81,3.41986
8695.81,3.41985
8715.85,3.41984
8735.94,3.41983
8756.08,3.41982
8776.27,3.41981
8796.5,3.41981
8816.78,3.4198
8837.1,3.41979
8857.47,3.41979
8877.89,3.41978
8898.36,3.41977
8918.87,3.41977
8939.43,3.41976
8960.04,3.41975
8980.69,3.41975
9001.4,3.41974
9022.15,3.41973
9042.94,3.41973
9063.79,3.41972
9084.69,3.41972
9105.63,3.41971
9126.62,3.4197
9147.66,3.41969
9168.74,3.41969
9189.88,3.41968
9211.07,3.41967
9232.3,3.41966
9253.58,3.41965
9274.91,3.41965
9296.29,3.41964
9317.72,3.41963
9339.2,3.41962
9360.73,3.41961
9382.31,3.4196
9403.94,3.41959
9425.62,3.41958
9447.35,3.41957
9469.13,3.41956
9490.95,3.41955
9512.83,3.41954
9534.76,3.41953
9556.74,3.41952
9578.77,3.41951
9600.85,3.41951
9622.99,3.41949
9645.17,3.41948
9667.4,3.41947
9689.69,3.41946
9712.03,3.41945
9734.42,3.41944
9756.86,3.41943
9779.35,3.41942
9801.89,3.41942
9824.49,3.41941
9847.13,3.4194
9869.83,3.41939
9892.59,3.41938
9915.39,3.41937
9938.25,3.41936
9961.16,3.41935
9984.12,3.41934
10007.1,3.41933
10030.2,3.41933
10053.3,3.41932
10076.5,3.41931
10099.7,3.4193
10123,3.4193
10146.4,3.41929
10169.7,3.41928
10193.2,3.41928
10216.7,3.41927
10240.2,3.41927
10263.8,3.41926
10287.5,3.41926
10311.2,3.41925
10335,3.41925
10358.8,3.41925
10382.7,3.41924
10406.6,3.41924
10430.6,3.41923
10454.7,3.41923
10478.8,3.41922
10502.9,3.41922
10527.1,3.41921
10551.4,3.41921
10575.7,3.4192
10600.1,3.41919
10624.5,3.41918
10649,3.41918
10673.6,3.41917
10698.2,3.41916
10722.8,3.41915
10747.6,3.41914
10772.3,3.41914
10797.2,3.41913
10822.1,3.41912
10847,3.41912
10872,3.41911
10897.1,3.41911
10922.2,3.4191
10947.4,3.4191
10972.6,3.41909
10997.9,3.41909
11023.3,3.41909
11048.7,3.41909
11074.1,3.41909
11099.7,3.41909
11125.3,3.41909
11150.9,3.41909
11176.6,3.41908
11202.4,3.41908
11228.2,3.41908
11254.1,3.41908
11280,3.41908
11306,3.41908
11332.1,3.41908
11358.2,3.41908
11384.4,3.41908
11410.6,3.41908
11436.9,3.41908
11463.3,3.41908
11489.7,3.41907
11516.2,3.41907
11542.8,3.41907
11569.4,3.41907
11596,3.41907
11622.8,3.41907
11649.6,3.41906
11676.4,3.41906
11703.3,3.41905
11730.3,3.41904
11757.4,3.41903
11784.5,3.41903
11811.6,3.41902
11838.9,3.41901
11866.2,3.419
11893.5,3.41899
11920.9,3.41898
11948.4,3.41897
11975.9,3.41896
12003.6,3.41894
12031.2,3.41894
12059,3.41893
12086.8,3.41892
12114.6,3.41892
12142.5,3.41892
12170.5,3.41892
12198.6,3.41892
12226.7,3.41892
12254.9,3.41893
12283.2,3.41893
12311.5,3.41893
12339.8,3.41893
12368.3,3.41892
12396.8,3.41892
12425.4,3.41891
12454,3.4189
12482.7,3.41889
12511.5,3.41888
12540.4,3.41887
12569.3,3.41886
12598.2,3.41886
12627.3,3.41885
12656.4,3.41885
12685.6,3.41885
12714.8,3.41885
12744.1,3.41884
12773.5,3.41884
12802.9,3.41884
12832.5,3.41883
12862,3.41883
12891.7,3.41883
12921.4,3.41882
12951.2,3.41882
12981.1,3.41881
13011,3.41881
13041,3.41881
13071,3.4188
13101.2,3.4188
13131.4,3.4188
13161.6,3.41879
13192,3.41879
13222.4,3.41878
13252.9,3.41878
13283.4,3.41878
13314,3.41878
13344.7,3.41877
13375.5,3.41877
13406.3,3.41877
13437.2,3.41877
13468.2,3.41878
13499.3,3.41879
13530.4,3.4188
13561.6,3.41882
13592.8,3.41883
13624.2,3.41884
13655.6,3.41885
13687.1,3.41886
13718.6,3.41886
13750.2,3.41887
13781.9,3.41887
13813.7,3.41887
13845.5,3.41888
13877.5,3.41888
13909.4,3.41888
13941.5,3.41888
13973.7,3.41887
14005.9,3.41887
14038.2,3.41886
14070.5,3.41884
14102.9,3.41883
14135.5,3.41881
14168,3.41879
14200.7,3.41878
14233.4,3.41876
14266.3,3.41875
14299.1,3.41873
14332.1,3.41872
14365.1,3.4187
14398.3,3.41869
14431.4,3.41868
14464.7,3.41868
14498.1,3.41867
14531.5,3.41866
14565,3.41866
14598.6,3.41865
14632.2,3.41864
14665.9,3.41863
14699.7,3.41862
14733.6,3.41861
14767.6,3.4186
14801.6,3.41859
14835.8,3.41858
14870,3.41857
14904.2,3.41857
14938.6,3.41856
14973,3.41855
15007.6,3.41854
