wavelength (nm),refractive index
371.4,1.47367
371.6,1.47364
371.8,1.47361
372,1.47359
372.2,1.47356
372.4,1.47354
372.6,1.47351
372.8,1.47348
373,1.47346
373.2,1.47343
373.4,1.4734
373.6,1.47338
373.8,1.47335
374,1.47332
374.2,1.4733
374.4,1.47327
374.6,1.47325
374.8,1.47322
375,1.47319
375.2,1.47317
375.4,1.47314
375.6,1.47312
375.8,1.47309
376,1.47306
376.2,1.47304
376.4,1.47301
376.6,1.47299
376.8,1.47296
377,1.47294
377.2,1.47291
377.4,1.47288
377.6,1.47286
377.8,1.47283
378,1.47281
378.2,1.47278
378.4,1.47276
378.6,1.47273
378.8,1.4727
379,1.47268
379.2,1.47265
379.4,1.47263
379.6,1.4726
379.8,1.47258
380,1.47255
380.2,1.47253
380.4,1.4725
380.6,1.47248
380.8,1.47245
381,1.47242
381.2,1.4724
381.4,1.47237
381.6,1.47235
381.8,1.47232
382,1.4723
382.2,1.47227
382.4,1.47225
382.6,1.47222
382.8,1.4722
383,1.47217
383.2,1.47215
383.4,1.47212
383.6,1.4721
383.8,1.47207
384,1.47205
384.2,1.47202
384.4,1.472
384.6,1.47197
384.8,1.47195
385,1.47192
385.2,1.4719
385.4,1.47188
385.6,1.47185
385.8,1.47183
386,1.4718
386.2,1.47178
386.4,1.47175
386.6,1.47173
386.8,1.4717
387,1.47168
387.2,1.47165
387.4,1.47163
387.6,1.47161
387.8,1.47158
388,1.47156
388.2,1.47153
388.4,1.47151
388.6,1.47148
388.8,1.47146
389,1.47144
389.2,1.47141
389.4,1.47139
389.6,1.47136
389.8,1.47134
390,1.47131
390.2,1.47129
390.4,1.47127
390.6,1.47124
390.8,1.47122
391,1.47119
391.2,1.47117
391.4,1.47115
391.6,1.47112
391.8,1.4711
392,1.47107
392.2,1.47105
392.4,1.47103
392.6,1.471
392.8,1.47098
393,1.47096
393.2,1.47093
393.4,1.47091
393.6,1.47088
393.8,1.47086
394,1.47084
394.2,1.47081
394.4,1.47079
394.6,1.47077
394.8,1.47074
395,1.47072
395.2,1.4707
395.4,1.47067
395.6,1.47065
395.8,1.47063
396,1.4706
396.2,1.47058
396.4,1.47055
396.6,1.47053
396.8,1.47051
397,1.47048
397.2,1.47046
397.4,1.47044
397.6,1.47042
397.8,1.47039
398,1.47037
398.2,1.47035
398.4,1.47032
398.6,1.4703
398.8,1.47028
399,1.47025
399.2,1.47023
399.4,1.47021
399.6,1.47018
399.8,1.47016
400,1.47014
400.2,1.47012
400.4,1.47009
400.6,1.47007
400.8,1.47005
401,1.47002
401.2,1.47
401.4,1.46998
401.6,1.46996
401.8,1.46993
402,1.46991
402.2,1.46989
402.4,1.46986
402.6,1.46984
402.8,1.46982
403,1.4698
403.2,1.46977
403.4,1.46975
403.6,1.46973
403.8,1.46971
404,1.46968
404.2,1.46966
404.4,1.46964
404.6,1.46962
404.8,1.4696
405,1.46958
405.2,1.46956
405.4,1.46954
405.6,1.46952
405.8,1.4695
406,1.46948
406.2,1.46945
406.4,1.46944
406.6,1.46942
406.8,1.4694
407,1.46938
407.2,1.46936
407.4,1.46934
407.6,1.46932
407.8,1.4693
408,1.46928
408.2,1.46926
408.4,1.46924
408.6,1.46922
408.8,1.4692
409,1.46918
409.2,1.46916
409.4,1.46914
409.6,1.46912
409.8,1.4691
410,1.46908
410.2,1.46906
410.4,1.46904
410.6,1.46902
410.8,1.469
411,1.46898
411.2,1.46896
411.4,1.46894
